asin,rating,title,text,helpful,verified,date,year
SN002,4,"Great product, minor issues",The Shark Robot works really well overall. Suction is strong and it's easy to use. Docking a star only because the dustbin could be larger.,0,True,2017-12-11,2017
NJ004,5,Game changer,The Ninja Creami is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,2,True,2015-10-28,2015
NJ003,1,Terrible quality control,My Ninja Professional arrived with a cracked part and after 3 weeks the motor started burning smell. Returned immediately.,0,True,2014-05-08,2014
NJ004,5,Love this thing,Got the Ninja Creami as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,3,True,2016-07-01,2016
NJ001,4,Solid performer,"The Ninja Air is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",2,True,2023-10-19,2023
SN004,4,"Great product, minor issues",The Shark Stratos works really well overall. Suction is strong and it's easy to use. Docking a star only because the dustbin could be larger.,0,True,2022-02-07,2022
SN001,3,Disappointed slightly,Expected more from the Shark Navigator based on reviews. It works but the battery life is not as advertised and the charger is slow.,0,True,2019-04-21,2019
SN004,5,Perfect purchase,"The Shark Stratos is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",2,True,2017-05-10,2017
NJ004,5,Best vacuum I've ever owned,This Ninja Creami completely changed how I clean my house. Picks up pet hair effortlessly and the suction is incredible. Worth every penny.,0,True,2014-02-07,2014
NJ001,5,Game changer,The Ninja Air is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,0,False,2014-01-26,2014
SN001,5,Perfect purchase,"The Shark Navigator is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",3,True,2016-12-19,2016
SN003,5,Absolutely love it,"Finally bought the Shark Apex after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",1,False,2015-06-02,2015
SN004,5,Love this thing,Got the Shark Stratos as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,0,False,2015-10-11,2015
NJ003,3,It does the job,The Ninja Professional cleans my floors adequately. The filters clog faster than I expected and I've already had to replace one after 6 months of use.,8,True,2016-10-13,2016
SN001,4,Very happy with purchase,Happy with my Shark Navigator. Does exactly what it promises. The cord is a bit short for my large living room but otherwise no complaints.,0,True,2015-01-22,2015
NJ005,5,Perfect purchase,"The Ninja Speedi is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",2,True,2020-04-27,2020
SN004,4,Works as described,"The Shark Stratos does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",0,True,2015-08-10,2015
SN001,5,Love this thing,Got the Shark Navigator as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,3,True,2020-01-24,2020
SN003,5,Best vacuum I've ever owned,This Shark Apex completely changed how I clean my house. Picks up pet hair effortlessly and the suction is incredible. Worth every penny.,8,True,2016-10-31,2016
NJ005,5,Best vacuum I've ever owned,This Ninja Speedi completely changed how I clean my house. Picks up pet hair effortlessly and the suction is incredible. Worth every penny.,1,True,2016-04-28,2016
NJ003,4,Good value,For the price the Ninja Professional delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,0,True,2018-05-03,2018
SN002,5,Game changer,The Shark Robot is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,2,True,2016-05-10,2016
SN004,2,Not worth the price,"For the amount I paid for this Shark Stratos, I expected much better. The motor is loud, it overheats, and the warranty process was a nightmare.",0,True,2020-07-22,2020
NJ004,5,Perfect purchase,"The Ninja Creami is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",8,True,2017-01-15,2017
NJ003,4,Solid performer,"The Ninja Professional is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",8,False,2018-04-18,2018
NJ001,4,Works as described,"The Ninja Air does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",1,True,2020-10-15,2020
NJ002,5,Game changer,The Ninja Foodi is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,0,True,2016-07-08,2016
NJ004,4,Works as described,"The Ninja Creami does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",8,True,2022-08-04,2022
NJ001,4,Good value,For the price the Ninja Air delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,2,True,2018-08-31,2018
NJ003,5,Perfect purchase,"The Ninja Professional is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",1,True,2023-04-16,2023
SN003,3,Average product,Nothing wrong with the Shark Apex but nothing special either. Does the job but so would cheaper options. The quality feels a bit plastic-y.,0,True,2014-04-16,2014
SN001,5,Love this thing,Got the Shark Navigator as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,0,False,2021-01-28,2021
NJ002,3,Decent but not great,The Ninja Foodi is okay for the price. It works but I expected more suction power. It struggles with larger debris. Average product overall.,1,True,2017-06-22,2017
SN001,5,Absolutely love it,"Finally bought the Shark Navigator after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",0,True,2016-02-24,2016
NJ002,5,Best vacuum I've ever owned,This Ninja Foodi completely changed how I clean my house. Picks up pet hair effortlessly and the suction is incredible. Worth every penny.,0,True,2014-03-19,2014
SN004,3,It does the job,The Shark Stratos cleans my floors adequately. The filters clog faster than I expected and I've already had to replace one after 6 months of use.,0,True,2021-04-15,2021
NJ003,3,Mixed feelings,My Ninja Professional has been fine for light cleaning but struggles with heavy messes. Also had to contact customer service once which wasn't ideal.,3,True,2023-04-25,2023
SN004,4,Works as described,"The Shark Stratos does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",2,True,2014-05-28,2014
NJ004,2,Quality issues,The Ninja Creami has good suction but the build quality is poor. The attachment clips broke within weeks and replacement parts are expensive.,2,True,2014-02-27,2014
NJ003,5,Perfect purchase,"The Ninja Professional is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,True,2023-12-01,2023
NJ001,5,Game changer,The Ninja Air is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,0,True,2019-07-11,2019
SN001,5,Perfect purchase,"The Shark Navigator is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,True,2020-03-18,2020
SN001,3,Disappointed slightly,Expected more from the Shark Navigator based on reviews. It works but the battery life is not as advertised and the charger is slow.,0,True,2015-02-14,2015
NJ004,5,Love this thing,Got the Ninja Creami as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,1,False,2016-06-11,2016
NJ004,4,Very happy with purchase,Happy with my Ninja Creami. Does exactly what it promises. The cord is a bit short for my large living room but otherwise no complaints.,1,True,2023-07-18,2023
NJ003,3,Average product,Nothing wrong with the Ninja Professional but nothing special either. Does the job but so would cheaper options. The quality feels a bit plastic-y.,1,True,2017-06-09,2017
SN002,5,Love this thing,Got the Shark Robot as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,0,True,2022-10-27,2022
NJ002,5,Game changer,The Ninja Foodi is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,1,True,2020-10-14,2020
SN002,3,Disappointed slightly,Expected more from the Shark Robot based on reviews. It works but the battery life is not as advertised and the charger is slow.,8,True,2017-07-23,2017
NJ002,3,It does the job,The Ninja Foodi cleans my floors adequately. The filters clog faster than I expected and I've already had to replace one after 6 months of use.,0,True,2014-09-15,2014
NJ004,5,Perfect purchase,"The Ninja Creami is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,True,2017-03-30,2017
SN002,1,Complete waste of money,The Shark Robot broke after 6 weeks. Called customer support and they were useless. Do not buy this product.,5,True,2023-08-11,2023
NJ001,4,Good value,For the price the Ninja Air delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,0,True,2022-09-22,2022
NJ004,5,Love this thing,Got the Ninja Creami as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,2,True,2022-03-07,2022
SN001,1,Complete waste of money,The Shark Navigator broke after 6 weeks. Called customer support and they were useless. Do not buy this product.,2,True,2021-08-03,2021
NJ003,2,Disappointed,The Ninja Professional started making a strange noise after 2 months. Build quality is not great. Would not buy again.,1,True,2019-11-24,2019
SN001,5,Absolutely love it,"Finally bought the Shark Navigator after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",5,True,2017-11-30,2017
SN004,2,Disappointed,The Shark Stratos started making a strange noise after 2 months. Build quality is not great. Would not buy again.,3,True,2023-06-27,2023
SN002,5,Love this thing,Got the Shark Robot as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,1,True,2018-12-15,2018
SN002,5,Exceeded expectations,"I was skeptical at first but the Shark Robot has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",3,True,2015-07-01,2015
SN001,3,Disappointed slightly,Expected more from the Shark Navigator based on reviews. It works but the battery life is not as advertised and the charger is slow.,5,True,2023-12-06,2023
SN001,5,Perfect purchase,"The Shark Navigator is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",1,True,2014-12-02,2014
NJ002,2,Quality issues,The Ninja Foodi has good suction but the build quality is poor. The attachment clips broke within weeks and replacement parts are expensive.,0,True,2017-09-27,2017
SN002,5,Love this thing,Got the Shark Robot as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,3,True,2017-02-09,2017
SN003,3,Average product,Nothing wrong with the Shark Apex but nothing special either. Does the job but so would cheaper options. The quality feels a bit plastic-y.,3,True,2014-02-21,2014
NJ002,4,Good value,For the price the Ninja Foodi delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,3,True,2015-10-26,2015
SN002,5,Game changer,The Shark Robot is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,0,True,2017-03-21,2017
NJ003,3,Disappointed slightly,Expected more from the Ninja Professional based on reviews. It works but the battery life is not as advertised and the charger is slow.,5,True,2022-01-30,2022
SN004,5,Exceeded expectations,"I was skeptical at first but the Shark Stratos has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",0,True,2023-01-17,2023
SN003,1,Complete waste of money,The Shark Apex broke after 6 weeks. Called customer support and they were useless. Do not buy this product.,0,True,2019-02-06,2019
NJ004,4,Good value,For the price the Ninja Creami delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,5,True,2023-10-02,2023
SN001,4,Good value,For the price the Shark Navigator delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,0,False,2015-05-11,2015
SN003,5,Love this thing,Got the Shark Apex as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,3,False,2023-09-28,2023
NJ003,5,Absolutely love it,"Finally bought the Ninja Professional after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",0,True,2015-02-01,2015
NJ005,2,Stopped working after 3 months,My Ninja Speedi worked fine at first but stopped working properly after about 3 months. The suction dropped dramatically and customer service was unhelpful.,0,False,2022-07-28,2022
SN001,3,It does the job,The Shark Navigator cleans my floors adequately. The filters clog faster than I expected and I've already had to replace one after 6 months of use.,0,True,2018-01-22,2018
SN002,5,Absolutely love it,"Finally bought the Shark Robot after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",2,True,2019-05-01,2019
NJ001,5,Perfect purchase,"The Ninja Air is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,True,2017-08-19,2017
SN001,3,Decent but not great,The Shark Navigator is okay for the price. It works but I expected more suction power. It struggles with larger debris. Average product overall.,1,True,2014-09-06,2014
NJ004,1,Terrible quality control,My Ninja Creami arrived with a cracked part and after 3 weeks the motor started burning smell. Returned immediately.,8,True,2014-01-22,2014
NJ002,5,Game changer,The Ninja Foodi is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,0,True,2015-05-15,2015
SN001,4,Good value,For the price the Shark Navigator delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,5,False,2019-03-28,2019
SN002,4,"Great product, minor issues",The Shark Robot works really well overall. Suction is strong and it's easy to use. Docking a star only because the dustbin could be larger.,3,True,2016-04-27,2016
NJ003,2,Stopped working after 3 months,My Ninja Professional worked fine at first but stopped working properly after about 3 months. The suction dropped dramatically and customer service was unhelpful.,1,True,2018-09-03,2018
NJ004,3,Mixed feelings,My Ninja Creami has been fine for light cleaning but struggles with heavy messes. Also had to contact customer service once which wasn't ideal.,2,True,2021-01-08,2021
NJ003,5,Best vacuum I've ever owned,This Ninja Professional completely changed how I clean my house. Picks up pet hair effortlessly and the suction is incredible. Worth every penny.,2,True,2021-07-12,2021
SN001,5,Exceeded expectations,"I was skeptical at first but the Shark Navigator has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",2,True,2021-07-14,2021
NJ001,3,It does the job,The Ninja Air cleans my floors adequately. The filters clog faster than I expected and I've already had to replace one after 6 months of use.,2,True,2021-12-16,2021
NJ002,5,Best vacuum I've ever owned,This Ninja Foodi completely changed how I clean my house. Picks up pet hair effortlessly and the suction is incredible. Worth every penny.,0,True,2022-07-23,2022
NJ003,3,Disappointed slightly,Expected more from the Ninja Professional based on reviews. It works but the battery life is not as advertised and the charger is slow.,2,True,2016-12-20,2016
SN001,5,Perfect purchase,"The Shark Navigator is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",8,True,2023-08-27,2023
SN003,4,Good value,For the price the Shark Apex delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,0,True,2017-02-13,2017
SN003,1,Don't buy this,"The Shark Apex is a huge disappointment. Weak suction from day one, loud, and the dustbin releases dust back into the air when you empty it.",0,True,2018-12-04,2018
NJ005,5,Love this thing,Got the Ninja Speedi as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,0,True,2015-08-21,2015
SN001,5,Perfect purchase,"The Shark Navigator is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",1,True,2022-04-02,2022
SN001,3,Disappointed slightly,Expected more from the Shark Navigator based on reviews. It works but the battery life is not as advertised and the charger is slow.,2,True,2016-12-12,2016
SN004,5,Perfect purchase,"The Shark Stratos is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",2,True,2016-10-23,2016
NJ003,3,It does the job,The Ninja Professional cleans my floors adequately. The filters clog faster than I expected and I've already had to replace one after 6 months of use.,0,False,2018-03-10,2018
SN003,5,Absolutely love it,"Finally bought the Shark Apex after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",1,True,2015-12-13,2015
NJ003,4,Works as described,"The Ninja Professional does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",3,True,2017-02-19,2017
NJ005,4,Solid performer,"The Ninja Speedi is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",0,True,2014-08-08,2014
NJ004,4,Good value,For the price the Ninja Creami delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,2,True,2015-04-22,2015
NJ004,5,Exceeded expectations,"I was skeptical at first but the Ninja Creami has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",1,True,2022-11-02,2022
SN002,4,Works as described,"The Shark Robot does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",5,True,2023-12-01,2023
SN003,5,Absolutely love it,"Finally bought the Shark Apex after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",0,True,2019-02-06,2019
NJ003,2,Disappointed,The Ninja Professional started making a strange noise after 2 months. Build quality is not great. Would not buy again.,0,False,2021-01-31,2021
NJ005,2,Disappointed,The Ninja Speedi started making a strange noise after 2 months. Build quality is not great. Would not buy again.,0,True,2019-03-03,2019
SN002,5,Game changer,The Shark Robot is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,2,True,2017-12-09,2017
SN003,4,Solid performer,"The Shark Apex is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",1,True,2014-04-28,2014
SN003,3,Disappointed slightly,Expected more from the Shark Apex based on reviews. It works but the battery life is not as advertised and the charger is slow.,3,True,2016-07-13,2016
NJ005,5,Exceeded expectations,"I was skeptical at first but the Ninja Speedi has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",3,False,2018-01-14,2018
NJ001,2,Disappointed,The Ninja Air started making a strange noise after 2 months. Build quality is not great. Would not buy again.,2,False,2019-11-29,2019
SN003,5,Exceeded expectations,"I was skeptical at first but the Shark Apex has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",0,True,2019-07-08,2019
NJ003,1,Complete waste of money,The Ninja Professional broke after 6 weeks. Called customer support and they were useless. Do not buy this product.,0,True,2020-06-08,2020
NJ004,4,Solid performer,"The Ninja Creami is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",0,True,2022-02-10,2022
NJ003,5,Perfect purchase,"The Ninja Professional is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,True,2022-02-01,2022
NJ005,5,Absolutely love it,"Finally bought the Ninja Speedi after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",1,True,2018-04-05,2018
NJ003,5,Perfect purchase,"The Ninja Professional is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,False,2017-04-18,2017
NJ002,4,Very happy with purchase,Happy with my Ninja Foodi. Does exactly what it promises. The cord is a bit short for my large living room but otherwise no complaints.,0,True,2019-12-28,2019
NJ004,5,Perfect purchase,"The Ninja Creami is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",3,True,2016-06-08,2016
NJ004,5,Absolutely love it,"Finally bought the Ninja Creami after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",1,True,2015-07-30,2015
SN002,4,"Great product, minor issues",The Shark Robot works really well overall. Suction is strong and it's easy to use. Docking a star only because the dustbin could be larger.,5,True,2018-04-27,2018
NJ001,5,Exceeded expectations,"I was skeptical at first but the Ninja Air has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",5,True,2019-01-24,2019
SN003,5,Love this thing,Got the Shark Apex as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,0,True,2020-07-10,2020
SN001,5,Best vacuum I've ever owned,This Shark Navigator completely changed how I clean my house. Picks up pet hair effortlessly and the suction is incredible. Worth every penny.,0,True,2022-04-26,2022
SN002,4,Very happy with purchase,Happy with my Shark Robot. Does exactly what it promises. The cord is a bit short for my large living room but otherwise no complaints.,0,True,2016-12-28,2016
NJ005,4,Good value,For the price the Ninja Speedi delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,1,True,2020-04-01,2020
SN002,5,Game changer,The Shark Robot is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,0,True,2017-10-07,2017
NJ002,5,Exceeded expectations,"I was skeptical at first but the Ninja Foodi has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",0,False,2023-12-03,2023
NJ005,5,Love this thing,Got the Ninja Speedi as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,1,True,2022-06-17,2022
SN003,5,Perfect purchase,"The Shark Apex is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",2,True,2016-07-09,2016
SN002,2,Not worth the price,"For the amount I paid for this Shark Robot, I expected much better. The motor is loud, it overheats, and the warranty process was a nightmare.",3,False,2016-07-09,2016
SN001,5,Love this thing,Got the Shark Navigator as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,3,True,2015-10-18,2015
SN001,3,It does the job,The Shark Navigator cleans my floors adequately. The filters clog faster than I expected and I've already had to replace one after 6 months of use.,0,True,2015-08-09,2015
NJ001,3,Decent but not great,The Ninja Air is okay for the price. It works but I expected more suction power. It struggles with larger debris. Average product overall.,0,True,2021-07-23,2021
SN002,2,Not worth the price,"For the amount I paid for this Shark Robot, I expected much better. The motor is loud, it overheats, and the warranty process was a nightmare.",0,True,2020-03-20,2020
SN002,2,Disappointed,The Shark Robot started making a strange noise after 2 months. Build quality is not great. Would not buy again.,0,False,2019-07-18,2019
NJ005,5,Love this thing,Got the Ninja Speedi as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,3,True,2019-04-08,2019
NJ004,5,Love this thing,Got the Ninja Creami as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,5,False,2021-06-03,2021
SN001,5,Game changer,The Shark Navigator is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,5,True,2019-12-02,2019
SN002,5,Exceeded expectations,"I was skeptical at first but the Shark Robot has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",12,True,2015-06-07,2015
NJ002,2,Disappointed,The Ninja Foodi started making a strange noise after 2 months. Build quality is not great. Would not buy again.,1,True,2018-12-05,2018
SN003,3,Disappointed slightly,Expected more from the Shark Apex based on reviews. It works but the battery life is not as advertised and the charger is slow.,2,True,2014-09-04,2014
NJ004,5,Exceeded expectations,"I was skeptical at first but the Ninja Creami has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",0,True,2021-05-10,2021
NJ004,5,Exceeded expectations,"I was skeptical at first but the Ninja Creami has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",8,True,2021-04-28,2021
SN004,5,Love this thing,Got the Shark Stratos as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,5,True,2021-11-23,2021
SN001,4,Solid performer,"The Shark Navigator is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",0,True,2016-09-07,2016
NJ004,2,Not worth the price,"For the amount I paid for this Ninja Creami, I expected much better. The motor is loud, it overheats, and the warranty process was a nightmare.",0,True,2021-09-28,2021
NJ002,3,Mixed feelings,My Ninja Foodi has been fine for light cleaning but struggles with heavy messes. Also had to contact customer service once which wasn't ideal.,0,True,2020-09-12,2020
NJ001,3,Decent but not great,The Ninja Air is okay for the price. It works but I expected more suction power. It struggles with larger debris. Average product overall.,3,True,2014-07-27,2014
NJ001,4,Works as described,"The Ninja Air does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",0,True,2014-08-13,2014
NJ005,5,Game changer,The Ninja Speedi is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,1,True,2018-01-13,2018
NJ003,5,Game changer,The Ninja Professional is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,3,True,2023-09-02,2023
SN001,5,Exceeded expectations,"I was skeptical at first but the Shark Navigator has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",1,True,2018-04-13,2018
NJ005,4,Good value,For the price the Ninja Speedi delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,0,True,2016-07-23,2016
SN003,5,Absolutely love it,"Finally bought the Shark Apex after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",0,True,2021-04-16,2021
NJ005,5,Absolutely love it,"Finally bought the Ninja Speedi after months of research and I'm not disappointed. Easy to assemble, powerful suction, and very maneuverable. Highly recommend.",1,True,2018-11-01,2018
SN004,5,Exceeded expectations,"I was skeptical at first but the Shark Stratos has been phenomenal. No loss of suction, easy to empty, and works great on both carpet and hardwood.",0,True,2014-11-05,2014
